Front	Back	Tags
agricola, -ae	m. | farmer, field worker	1st_declension masculine
nauta, -ae	m. | sailor	1st_declension masculine
poēta, -ae	m. | poet	1st_declension masculine
scurra, -ae	m. | fool, jester, comedian	1st_declension masculine
amīcitia, -ae	f. | friendship	1st_declension feminine
ancilla, -ae	f. | slave-girl, slave-woman	1st_declension feminine
anima, -ae	f. | breeze; air; breath, spirit; life, soul	1st_declension feminine
aqua, -ae	f. | water	1st_declension feminine
ara, -ae	f. | altar	1st_declension feminine
aura, -ae	f. | breeze, breath of air; gleam; vapor	1st_declension feminine
causa, -ae	f. | cause, motive; origin; lawsuit, trial	1st_declension feminine
cēna, -ae	f. | dinner, meal	1st_declension feminine
clēmentia, -ae	f. | gentleness, mildness	1st_declension feminine
coma, -ae	f. | hair, tresses	1st_declension feminine
cōpia, -ae	f. | plenty, supply, abundance; (Pl.) troops, supplies	1st_declension feminine
corōna, -ae	f. | garland, chaplet, wreath	1st_declension feminine
culpa, -ae	f. | guilt, fault, blame	1st_declension feminine
cūra, -ae	f. | care, worry, concern	1st_declension feminine
dea, -ae	f. | goddess (Dt. & Abl. Pl. deābus)	1st_declension feminine
dīvitiae, -ārum	f. pl. | riches	1st_declension feminine
domina, -ae	f. | householder, mistress, lady	1st_declension feminine
epistula, -ae	f. | letter	1st_declension feminine
extera, -ae	f. | female foreigner	1st_declension feminine
fābula, -ae	f. | fictitious narrative, tale, story; play; fable	1st_declension feminine
fāma, -ae	f. | rumor, reputation; fame, glory	1st_declension feminine
fēmina, -ae	f. | woman	1st_declension feminine
fera, -ae	f. | wild animal	1st_declension feminine
figūra, -ae	f. | form, shape	1st_declension feminine
fīlia, -ae	f. | daughter (Dt. & Abl. Pl. fīliābus)	1st_declension feminine
flamma, -ae	f. | flame, fire	1st_declension feminine
fōrma, -ae	f. | form, figure; structure, appearance; beauty	1st_declension feminine
fortūna, -ae	f. | fortune	1st_declension feminine
fuga, -ae	f. | flight, a running away, a rout	1st_declension feminine
gena, -ae	f. | cheek, eye	1st_declension feminine
glōria, -ae	f. | glory, fame	1st_declension feminine
grātia, -ae	f. | favour; influence; gratitude; the Graces	1st_declension feminine
herba, -ae	f. | herb; grass, turf, plant; meadow	1st_declension feminine
hōra, -ae	f. | hour	1st_declension feminine
iniūria, -ae	f. | injustice, wrong, affront	1st_declension feminine
īnsidia, -ae	f. | a plot; treachery; trap; (Pl.) ambush	1st_declension feminine
insula, -ae	f. | island; block of flats	1st_declension feminine
invidia, -ae	f. | envy, jealousy, hatred	1st_declension feminine
īra, -ae	f. | anger, wrath	1st_declension feminine
iuventa, -ae	f. | period of youth, youth	1st_declension feminine
lacrima, -ae	f. | tear	1st_declension feminine
lingua, -ae	f. | tongue; language	1st_declension feminine
littera, -ae	f. | letter of the alphabet; (Pl.) literature	1st_declension feminine
lūna, -ae	f. | moon	1st_declension feminine
lyra, -ae	f. | lute, lyre; lyric poetry, song	1st_declension feminine
māteria, -ae	f. | timber, lumber	1st_declension feminine
memoria, -ae	f. | memory, recollection; history; tradition	1st_declension feminine
mēnsa, -ae	f. | table	1st_declension feminine
mora, -ae	f. | delay, hindrance; pause	1st_declension feminine
mūsa, -ae	f. | muse	1st_declension feminine
nātūra, -ae	f. | nature	1st_declension feminine
nympha, -ae	f. | nymph	1st_declension feminine
opera, -ae	f. | work, care; aid; service, effort	1st_declension feminine
ōra, -ae	f. | coast	1st_declension feminine
pātria, -ae	f. | fatherland, country	1st_declension feminine
pecūnia, -ae	f. | money	1st_declension feminine
philosophia, -ae	f. | philosophy, love of wisdom	1st_declension feminine
poena, -ae	f. | penalty, punishment	1st_declension feminine
potentia, -ae	f. | force, power	1st_declension feminine
porta, -ae	f. | gate	1st_declension feminine
praeda, -ae	f. | booty, prey	1st_declension feminine
prōvincia, -ae	f. | province; office	1st_declension feminine
puella, -ae	f. | girl; maiden	1st_declension feminine
pugna, -ae	f. | battle, fight	1st_declension feminine
rēgīna, -ae	f. | queen	1st_declension feminine
rīpa, -ae	f. | bank (of a river)	1st_declension feminine
rosa, -ae	f. | rose	1st_declension feminine
rota, -ae	f. | wheel	1st_declension feminine
ruīna, -ae	f. | downfall, collapse	1st_declension feminine
sapientia, -ae	f. | wisdom; judgment, understanding; reason	1st_declension feminine
sententia, -ae	f. | feeling, thinking, opinion, judgment	1st_declension feminine
silva, -ae	f. | forest, grove	1st_declension feminine
stella, -ae	f. | star	1st_declension feminine
taberna, -ae	f. | shop, inn, tavern	1st_declension feminine
tenebrae, -ārum	f. pl. | darkness	1st_declension feminine
terra, -ae	f. | land (as opp. to water, air)	1st_declension feminine
turba, -ae	f. | confusion, tumult; crowd, throng	1st_declension feminine
umbra, -ae	f. | shade, shadow	1st_declension feminine
unda, -ae	f. | wave, billow; sea	1st_declension feminine
via, -ae	f. | way, route, street	1st_declension feminine
victōria, -ae	f. | victory	1st_declension feminine
vīlla, -ae	f. | country-seat	1st_declension feminine
vīta, -ae	f. | life	1st_declension feminine
ager, agrī	m. | cultivated land, field, country	2nd_declension masculine
amīcus, amīcī	m. | friend	2nd_declension masculine
animus, animī	m. | feeling, spirit, soul	2nd_declension masculine
annus, annī	m. | year	2nd_declension masculine
barbarus, barbarī	m. | foreigner, stranger	2nd_declension masculine
campus, campī	m. | plain, field	2nd_declension masculine
capillus, capillī	m. | head of hair, hair	2nd_declension masculine
captīvus, captīvī	m. | captive, prisoner of war	2nd_declension masculine
chorus, chorī	m. | dance, choral dance; band, troop	2nd_declension masculine
cibus, cibī	m. | food	2nd_declension masculine
deus, deī	m. | god	2nd_declension masculine
digitus, digitī	m. | finger	2nd_declension masculine
dominus, dominī	m. | householder, master, lord	2nd_declension masculine
equus, equī	m. | horse	2nd_declension masculine
fīlius, fīliī	m. | son	2nd_declension masculine
gladius, gladiī	m. | sword (the prose word)	2nd_declension masculine
hortus, hortī	m. | garden	2nd_declension masculine
inimīcus, inimīcī	m. | personal enemy	2nd_declension masculine
legatus, legātī	m. | envoy, ambassador; commander of a legion	2nd_declension masculine
libellus, libellī	m. | booklet	2nd_declension masculine
liber, librī	m. | book, volume	2nd_declension masculine
līberī, liberōrum	m. pl. | children	2nd_declension masculine
lībertus, lībertī	m. | freedman, ex-slave	2nd_declension masculine
locus, locī	m. | place, location (Nt. Pl. loca, -ōrum)	2nd_declension masculine
lūcus, lucī	m. | grove; sacred grove	2nd_declension masculine
magister, magistrī	m. | master, schoolmaster; foreman, chief	2nd_declension masculine
marītus, marītī	m. | husband, married man; lover	2nd_declension masculine
minister, ministrī	m. | attendant, servant; tool, agent	2nd_declension masculine
modus, modī	m. | measure, manner, kind	2nd_declension masculine
morbus, morbī	m. | sickness, disease	2nd_declension masculine
mundus, mundī	m. | universe, the world; mankind	2nd_declension masculine
mūrus, mūrī	m. | wall	2nd_declension masculine
nātus, nātī	m. | son; young one; offspring	2nd_declension masculine
numerus, numerī	m. | number, amount; rhythm	2nd_declension masculine
nūntius, nūntiī	m. | messenger; message, news	2nd_declension masculine
oculus, oculī	m. | eye	2nd_declension masculine
polus, polī	m. | pole; sky, heavens	2nd_declension masculine
pontus, pontī	m. | the open sea, deep	2nd_declension masculine
populus, populī	m. | people; nation	2nd_declension masculine
puer, puerī	m. | boy; slave; (Pl.) children	2nd_declension masculine
rāmus, rāmī	m. | branch, bough (of a tree)	2nd_declension masculine
rogus, rogī	m. | funeral pyre	2nd_declension masculine
servus, servī	m. | slave	2nd_declension masculine
socius, sociī	m. | ally, confederate	2nd_declension masculine
somnus, somnī	m. | sleep	2nd_declension masculine
sonus, sonī	m. | sound, noise	2nd_declension masculine
taurus, taurī	m. | bull	2nd_declension masculine
thalamus, thalamī	m. | bed-chamber, couch, bridal bed	2nd_declension masculine
titulus, titulī	m. | inscription, label, title; pretext	2nd_declension masculine
torus, torī	m. | bed, couch; royal seat or throne	2nd_declension masculine
tribunus, tribunī	m. | tribune	2nd_declension masculine
triumphus, triumphī	m. | triumph	2nd_declension masculine
tumulus, tumulī	m. | hillock, mound; swelling	2nd_declension masculine
ventus, ventī	m. | wind	2nd_declension masculine
vīcīnus, vīcīnī	m. | neighbour	2nd_declension masculine
vir, virī	m. | man; husband; hero	2nd_declension masculine
humus, humī	f. | ground	2nd_declension feminine
aevum, aevī	n. | lifetime, age, old age; eternity	2nd_declension neuter
antrum, antrī	n. | cave, cavern, grot	2nd_declension neuter
arma, armōrum	n. pl. | arms, armor; implements of war	2nd_declension neuter
arvum, arvī	n. | field; plowed land	2nd_declension neuter
astrum, astrī	n. | heavenly body, star, planet; sky	2nd_declension neuter
aurum, aurī	n. | gold; money	2nd_declension neuter
auxilium, auxiliī	n. | support, assistance; (Pl.) reinforcements	2nd_declension neuter
bellum, bellī	n. | war	2nd_declension neuter
beneficium, beneficiī	n. | kindness, favor, privilege	2nd_declension neuter
bonum, bonī	n. | good, good thing; profit, advantage	2nd_declension neuter
caelum, caelī	n. | sky; heaven	2nd_declension neuter
castra, castrōrum	n. pl. | camp, military encampment	2nd_declension neuter
